,user,text,scores,compound,user,text,scores,compound
24,BarackObama,"Until all of us stand up and insist on holding public officials accountable for changing our gun laws, these traged… https://t.co/QO6QOjix7M","{'neg': 0.107, 'neu': 0.893, 'pos': 0.0, 'compound': -0.34}",-0.34,KimKardashian,RT @thejakekardash: Super cool birthday sketch for Kim by @/deepak__CR7 🔥 https://t.co/1437JPXXMq,"{'neg': 0.0, 'neu': 0.592, 'pos': 0.408, 'compound': 0.7351}",0.7351
25,BarackObama,https://t.co/nNOVtQ50O4,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,KimKardashian,Hahaha yesss!!! https://t.co/BbhKCUPdn6,"{'neg': 0.0, 'neu': 0.309, 'pos': 0.691, 'compound': 0.6679}",0.6679
26,BarackObama,"The families of our wounded warriors don't often get a lot of fanfare, but they're serving and sacrificing right al… https://t.co/dNQIaG7WAA","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,KimKardashian,"RT @KKWLITE: Happy Birthday @KimKardashian thank u for making me feel empowered, ur such a genuine, down to earth person and i’m proud to c…","{'neg': 0.0, 'neu': 0.683, 'pos': 0.317, 'compound': 0.8519}",0.8519
27,BarackObama,Recent court decisions make it clear that the change we need to restore our democracy has to come from the ground u… https://t.co/iAsd5KCAdM,"{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.5859}",0.5859,KimKardashian,Our strongest Solutionwear™ is coming soon!! The @skims Contour Bonded collection offers the highest level of suppo… https://t.co/QgtcxrY6uP,"{'neg': 0.0, 'neu': 0.83, 'pos': 0.17, 'compound': 0.5399}",0.5399
28,BarackObama,"Here’s a worthwhile Sunday read: “…nothing should temper partisanship more than an awareness that somewhere, on som… https://t.co/XSbZhrhvcT","{'neg': 0.139, 'neu': 0.743, 'pos': 0.119, 'compound': -0.1027}",-0.1027,KimKardashian,I got amazing gifts from my whole family and Kanye for me the most amazing bags. But he also donated $1 million to… https://t.co/aBZREvzqSN,"{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.8225}",0.8225
29,BarackObama,"I’ve always been proud of what this team accomplished during my administration. But more than what we did, I’m prou… https://t.co/b7pswCxgE1","{'neg': 0.0, 'neu': 0.76, 'pos': 0.24, 'compound': 0.7184}",0.7184,KimKardashian,My favorite Armenian restaurant Carousel came and catered and then was surprised with a beignet truck and churro st… https://t.co/8sn5D890sC,"{'neg': 0.0, 'neu': 0.776, 'pos': 0.224, 'compound': 0.5994}",0.5994
30,BarackObama,"RT @ObamaFoundation: Leaders: Africa may have ended, but 200 inspiring #ObamaLeaders returned to their homes with the new connections and f…","{'neg': 0.0, 'neu': 0.844, 'pos': 0.156, 'compound': 0.5719}",0.5719,KimKardashian,Thank you so much for all of the birthday love! I had the best most relaxing birthday ever! Spent the weekend w my… https://t.co/2QL8LQAFm3,"{'neg': 0.0, 'neu': 0.546, 'pos': 0.454, 'compound': 0.943}",0.943
31,BarackObama,Economist Raj Chetty is not only identifying the decline in opportunity we’ve seen in recent decades—but trying to… https://t.co/aVvBp3i2Ey,"{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.4215}",0.4215,KimKardashian,RT @NoemyeWest: HAPPY BIRTHDAY TO THE GOAT ❗️ THE QUEEN ❗️ THE BLUEPRINT ❗️ @KimKardashian https://t.co/xhqaLt2twa,"{'neg': 0.0, 'neu': 0.772, 'pos': 0.228, 'compound': 0.6633}",0.6633
32,BarackObama,Here are a couple of articles backed by new research that are worth taking a look at: A new study on the Medicaid e… https://t.co/ZxoqspJKRA,"{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.25}",0.25,KimKardashian,She looks soooo good!!! https://t.co/LYyuYsXPxC,"{'neg': 0.0, 'neu': 0.514, 'pos': 0.486, 'compound': 0.5826}",0.5826
33,BarackObama,"In America, we don’t fear the future, we embrace it. 50 years ago, that spirit took us to the moon. Today, it’s emb… https://t.co/dWqbdzNq83","{'neg': 0.113, 'neu': 0.745, 'pos': 0.142, 'compound': -0.0516}",-0.0516,KimKardashian,"RT @thekimyebest: Happy birthday to the goddess herself, a living, breathing angel. You inspire me everyday to be myself and pursue my drea…","{'neg': 0.0, 'neu': 0.73, 'pos': 0.27, 'compound': 0.8126}",0.8126
34,BarackObama,RT @MichelleObama: What truly makes our country great is its diversity. I’ve seen that beauty in so many ways over the years. Whether we ar…,"{'neg': 0.0, 'neu': 0.671, 'pos': 0.329, 'compound': 0.8957}",0.8957,KimKardashian,Wow just WOW I love each and every one of you so much!!! https://t.co/jjNrU4TZZM,"{'neg': 0.0, 'neu': 0.427, 'pos': 0.573, 'compound': 0.9372}",0.9372
35,BarackObama,"#MandelaDay reminds us that when things feel dark, confusing, or impossible—take a look back at his writings. There… https://t.co/dQ4IzuzBNQ","{'neg': 0.101, 'neu': 0.899, 'pos': 0.0, 'compound': -0.2263}",-0.2263,KimKardashian,RT @narcicismo: Mario scaring Kim with a spider is the best thing you’ll see today. 😂 https://t.co/7Pj51Xmw3L,"{'neg': 0.144, 'neu': 0.647, 'pos': 0.209, 'compound': 0.3182}",0.3182
36,BarackObama,I have a good feeling about these Chicago @UrbanAlliance interns. Thanks for letting me spend yesterday afternoon w… https://t.co/FF40nHbs63,"{'neg': 0.0, 'neu': 0.657, 'pos': 0.343, 'compound': 0.743}",0.743,KimKardashian,♥️ https://t.co/EFpOak3MT9,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
37,BarackObama,"The @ObamaFoundation is helping a new generation of leaders make their mark, and there’s an extraordinary group gat… https://t.co/azU3MXDYlN","{'neg': 0.0, 'neu': 0.885, 'pos': 0.115, 'compound': 0.296}",0.296,KimKardashian,Love you so much mom!!! https://t.co/UpJJBR6r3k,"{'neg': 0.0, 'neu': 0.496, 'pos': 0.504, 'compound': 0.7249}",0.7249
38,BarackObama,Proud to rep America’s best team! Congrats @USWNT and thanks for being such a strong inspiration for women and girl… https://t.co/L8OY8yP0Mi,"{'neg': 0.0, 'neu': 0.405, 'pos': 0.595, 'compound': 0.9665}",0.9665,KimKardashian,Love you Alice!! https://t.co/4A1H0maM9Q,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.6988}",0.6988
39,BarackObama,"Yes! Fourth star. Back to back. Congrats to the record breakers on the @USWNT, an incredible team that’s always pus… https://t.co/2wYRZDpcaO","{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.75}",0.75,KimKardashian,RT @narcicismo: there’s no words that describe how much I admire and love this woman. the most down to Earth person I’ve ever had the chanc…,"{'neg': 0.07, 'neu': 0.698, 'pos': 0.232, 'compound': 0.7269}",0.7269
40,BarackObama,"RT @MichelleObama: Good luck to the @USWNT! You all are some of the most fearless, powerful, awe-inspiring athletes I’ve ever seen—and toge…","{'neg': 0.0, 'neu': 0.591, 'pos': 0.409, 'compound': 0.9093}",0.9093,KimKardashian,Aww I love this thank you so much!!!! https://t.co/jjNrU4TZZM,"{'neg': 0.0, 'neu': 0.421, 'pos': 0.579, 'compound': 0.8498}",0.8498
41,BarackObama,"Happy Fourth of July, everybody! This is always a great day in the Obama family: a chance to celebrate America—and… https://t.co/xLyTsgcyjO","{'neg': 0.0, 'neu': 0.521, 'pos': 0.479, 'compound': 0.9299}",0.9299,KimKardashian,RT @kkwbeauty: Happy Birthday to our Founder and CEO @KimKardashian! Celebrate with 39% off Kim’s beauty must-haves. Ends tonight at 11:59P…,"{'neg': 0.0, 'neu': 0.61, 'pos': 0.39, 'compound': 0.9098}",0.9098
42,BarackObama,"I’m admittedly biased, but this article gibes with my experience about what all of us might take away from the “alo… https://t.co/euYQ9XepeG","{'neg': 0.069, 'neu': 0.931, 'pos': 0.0, 'compound': -0.1406}",-0.1406,KimKardashian,Celebrate my 39th Birthday with 39% off my @kkwbeauty must-haves! Ends tonight at 11:59PM PST at… https://t.co/B133cuUyRm,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.6114}",0.6114
43,BarackObama,Congrats to the USWNT! A great performance from a great team—looking forward to Sunday. #OneNationOneTeam,"{'neg': 0.0, 'neu': 0.457, 'pos': 0.543, 'compound': 0.9168}",0.9168,KimKardashian,"TODAY ONLY: To celebrate my 39th Birthday, all of my essential @skims Underwire Bras are $39! Ends tonight at 11:59… https://t.co/M2HMtW2lco","{'neg': 0.0, 'neu': 0.834, 'pos': 0.166, 'compound': 0.6114}",0.6114
44,BarackObama,No one changes the world alone. That’s why the @ObamaFoundation is connecting emerging leaders from South Africa to… https://t.co/nG2Rp9OjIw,"{'neg': 0.198, 'neu': 0.802, 'pos': 0.0, 'compound': -0.4939}",-0.4939,KimKardashian,"RT @mycoolnewshoes: Happy birthday to @KimKardashian 

some of my fav pics btw https://t.co/wYNLpoOH4T","{'neg': 0.0, 'neu': 0.621, 'pos': 0.379, 'compound': 0.7717}",0.7717
45,BarackObama,The most important job in our democracy is citizen. If you’re tired of politicians manipulating maps and ignoring t… https://t.co/FM4pOBftrt,"{'neg': 0.309, 'neu': 0.611, 'pos': 0.08, 'compound': -0.719}",-0.719,KimKardashian,"RT @kkwstyle2017: Happy Birthday to an ICON, a legend, mom, wife, daughter, sister, bff, beauty &amp; fashion mogul!! May your special day be f…","{'neg': 0.0, 'neu': 0.564, 'pos': 0.436, 'compound': 0.9401}",0.9401
46,BarackObama,"50 years ago, history was written at the Stonewall Inn when New York's LGBT community stood up, spoke out, and star… https://t.co/N6TIkkQHEI","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,KimKardashian,Love you!!!! https://t.co/colWXUMdWp,"{'neg': 0.0, 'neu': 0.271, 'pos': 0.729, 'compound': 0.7482}",0.7482
47,BarackObama,What a gift to come across this interview with Julia “Hurricane” Hawkins. I’m as grateful for her life advice as I… https://t.co/zN8buKkYqL,"{'neg': 0.0, 'neu': 0.763, 'pos': 0.237, 'compound': 0.7096}",0.7096,KimKardashian,"RT @KKWMAFIA: Happy Birthday, @KimKardashian. Thank you for being an inspiration to so many people around the world. Your selflessness is o…","{'neg': 0.0, 'neu': 0.664, 'pos': 0.336, 'compound': 0.8625}",0.8625
48,BarackObama,"Now we’re talking! Congrats to Team USA for moving on, and thanks for continuing to make us all proud. #USA https://t.co/DVkKBfU6wA","{'neg': 0.0, 'neu': 0.65, 'pos': 0.35, 'compound': 0.8655}",0.8655,KimKardashian,"RT @AsyaKardashian: Happy Birthday , Kimberly ! 

I wish you eternal youth, original ideas, big success in everything you do. Thank you for…","{'neg': 0.0, 'neu': 0.497, 'pos': 0.503, 'compound': 0.9348}",0.9348
49,BarackObama,"On Juneteenth, we celebrate our capacity to make real the promise of our founding, that thing inside each of us tha… https://t.co/bYmILjSq9H","{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.7184}",0.7184,KimKardashian,"RT @kanyewest: “JESUS IS KING”
    OCT 25th https://t.co/Ug4ghlQYk7","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
50,BarackObama,"Outside the Oval Office, I kept a painting of a small crowd huddled around a pocketwatch, waiting for the moment th… https://t.co/m8dljaM5Zk","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,KimKardashian,RT @Trendmood: Birthday Day #Sale!🚨Happening NOW! Online @kkwbeauty 💸 To celebrate @kimkardashian’s 39th bday Take 39% off her must haves!!…,"{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.7067}",0.7067
